country,temp_100_year_avg_1922_2022,temp_50_year_avg_1972_2022,temp_25_year_avg_1997_2022,temp_10_year_avg_2012_2022,avg_2022
Burkina Faso,28.9°,29.1°,29.4°,29.5°,29.3°
Mali,28.8°,29.1°,29.3°,29.3°,29.2°
Qatar,27.3°,27.7°,28.3°,28.6°,29.1°
Senegal,28.4°,28.7°,29.0°,29.1°,29.0°
Mauritania,28.4°,28.6°,28.9°,29.0°,28.9°
United Arab Emirates,27.6°,27.9°,28.4°,28.6°,28.9°
Bahrain,26.9°,27.4°,28.0°,28.3°,28.8°
Benin,27.7°,27.9°,28.2°,28.3°,28.7°
Gambia,27.9°,28.1°,28.5°,28.6°,28.5°
Guinea-Bissau,27.5°,27.7°,28.1°,28.2°,28.1°
Oman,27.2°,27.4°,27.8°,27.9°,27.9°
Ghana,27.3°,27.5°,27.8°,27.9°,27.7°
Singapore,27.2°,27.4°,27.8°,27.9°,27.7°
Sudan,27.3°,27.7°,28.1°,28.1°,27.6°
Niger,27.7°,27.8°,28.1°,28.1°,27.6°
Kuwait,25.6°,26.0°,26.6°,27.0°,27.6°
Togo,27.0°,27.2°,27.5°,27.6°,27.5°
Cambodia,27.0°,27.2°,27.4°,27.6°,27.3°
Chad,27.1°,27.4°,27.7°,27.7°,27.3°
Sri Lanka,26.7°,27.1°,27.3°,27.4°,27.2°
Nigeria,27.0°,27.1°,27.4°,27.5°,27.2°
Brunei,26.7°,26.8°,27.0°,27.1°,26.8°
Thailand,26.5°,26.7°,26.9°,27.1°,26.8°
Cote d'Ivoire,26.5°,26.6°,26.9°,27.0°,26.8°
Sierra Leone,26.2°,26.4°,26.7°,26.8°,26.6°
Philippines,25.9°,26.2°,26.3°,26.5°,26.6°
Trinidad and Tobago,26.1°,26.4°,26.6°,26.7°,26.5°
Suriname,26.3°,26.5°,26.7°,26.7°,26.5°
Saudi Arabia,25.4°,25.7°,26.2°,26.4°,26.5°
Malaysia,26.0°,26.2°,26.4°,26.6°,26.4°
Guyana,25.8°,26.0°,26.2°,26.3°,26.2°
"Bahamas, The",25.1°,25.4°,25.7°,26.0°,26.1°
Jamaica,25.5°,25.7°,26.0°,26.1°,26.0°
Guinea,25.5°,25.7°,26.0°,26.1°,26.0°
Indonesia,25.7°,25.8°,26.0°,26.1°,26.0°
Nicaragua,25.5°,25.7°,25.9°,26.0°,25.8°
Bangladesh,25.5°,25.6°,25.8°,25.5°,25.7°
Central African Republic,25.2°,25.3°,25.6°,25.6°,25.6°
Liberia,25.2°,25.3°,25.5°,25.6°,25.5°
Brazil,24.9°,25.2°,25.5°,25.7°,25.5°
"Yemen, Rep.",25.2°,25.4°,25.6°,25.7°,25.5°
Gabon,25.0°,25.1°,25.3°,25.4°,25.5°
Panama,25.3°,25.4°,25.6°,25.8°,25.3°
El Salvador,24.8°,25.1°,25.3°,25.5°,25.2°
Kenya,24.6°,24.9°,25.2°,25.2°,25.2°
India,24.6°,24.8°,25.0°,25.1°,25.2°
"Congo, Rep.",24.6°,24.6°,24.9°,25.0°,25.1°
Haiti,24.5°,24.8°,25.0°,25.2°,25.0°
Cameroon,24.7°,24.7°,24.9°,25.0°,24.9°
Papua New Guinea,24.7°,24.8°,24.7°,24.8°,24.8°
Colombia,24.7°,24.8°,25.0°,25.2°,24.7°
Vietnam,24.5°,24.7°,24.8°,25.0°,24.7°
Honduras,24.3°,24.5°,24.8°,24.9°,24.7°
Costa Rica,24.4°,24.7°,24.8°,24.9°,24.6°
Dominican Republic,24.0°,24.4°,24.6°,24.8°,24.6°
Mozambique,24.0°,24.2°,24.5°,24.5°,24.4°
"Congo, Dem. Rep",24.1°,24.3°,24.4°,24.4°,24.4°
Laos,23.8°,24.0°,24.2°,24.4°,24.1°
Algeria,23.2°,23.4°,23.7°,23.8°,24.1°
Myanmar,23.6°,23.7°,23.9°,24.0°,24.0°
Paraguay,23.8°,23.8°,24.0°,24.1°,23.9°
Egypt,22.7°,22.8°,23.3°,23.6°,23.9°
Guatemala,23.2°,23.5°,23.8°,23.9°,23.8°
Comoros,23.5°,23.6°,23.8°,23.9°,23.7°
Hong Kong,22.9°,23.0°,23.3°,23.6°,23.6°
Ethiopia,23.0°,23.2°,23.5°,23.6°,23.5°
Mauritius,22.9°,23.1°,23.5°,23.7°,23.3°
Uganda,22.6°,23.0°,23.3°,23.2°,23.1°
Tanzania,22.5°,22.8°,23.0°,23.0°,22.9°
Libya,22.3°,22.6°,22.9°,22.8°,22.8°
Cabo Verde,22.3°,22.4°,22.6°,22.6°,22.7°
Madagascar,22.4°,22.5°,22.7°,22.9°,22.7°
Malawi,22.3°,22.4°,22.7°,22.7°,22.6°
Pakistan,20.9°,21.2°,21.6°,21.7°,22.2°
Botswana,21.6°,21.8°,22.1°,22.2°,22.0°
Australia,21.6°,21.9°,22.1°,22.4°,22.0°
Zambia,21.8°,22.0°,22.2°,22.1°,21.9°
Zimbabwe,21.4°,21.6°,21.9°,22.0°,21.8°
Mexico,20.8°,21.1°,21.4°,21.7°,21.7°
Angola,21.5°,21.7°,21.8°,21.7°,21.6°
Tunisia,19.8°,20.2°,20.7°,20.9°,21.4°
Ecuador,21.2°,21.3°,21.4°,21.6°,21.1°
Eswatini,20.1°,20.4°,20.7°,21.0°,20.9°
Bolivia,20.8°,20.7°,20.7°,20.9°,20.7°
Burundi,20.1°,20.3°,20.6°,20.5°,20.4°
Malta,18.9°,19.3°,19.8°,20.0°,20.3°
Israel,19.4°,19.6°,20.2°,20.5°,20.2°
Namibia,20.1°,20.3°,20.5°,20.5°,20.2°
Jordan,18.9°,19.1°,19.7°,20.0°,19.8°
Peru,19.6°,19.6°,19.7°,19.8°,19.6°
Cyprus,18.4°,18.6°,19.2°,19.5°,19.3°
Morocco,17.7°,17.9°,18.3°,18.5°,19.1°
Rwanda,18.7°,19.0°,19.3°,19.2°,19.1°
South Africa,17.7°,18.0°,18.3°,18.5°,18.4°
Uruguay,17.7°,17.9°,18.0°,18.2°,17.7°
Turkmenistan,15.9°,16.4°,16.9°,17.1°,17.7°
Portugal,15.3°,15.6°,16.0°,16.2°,16.9°
Lebanon,14.8°,15.0°,15.7°,15.9°,15.7°
Argentina,14.9°,15.0°,15.1°,15.4°,15.4°
Spain,13.4°,13.8°,14.2°,14.5°,15.3°
Greece,13.9°,14.0°,14.5°,14.8°,14.9°
Uzbekistan,12.9°,13.4°,14.0°,14.1°,14.9°
Afghanistan,12.8°,13.1°,13.6°,13.8°,14.5°
Italy,12.6°,12.9°,13.4°,13.7°,14.4°
Nepal,13.8°,14.0°,14.3°,14.2°,14.4°
Azerbaijan,12.4°,12.7°,13.3°,13.5°,13.8°
Albania,12.0°,12.1°,12.6°,13.0°,13.3°
Croatia,11.1°,11.6°,12.2°,12.6°,13.2°
France,10.9°,11.3°,11.8°,12.1°,13.2°
"Korea, Rep.",11.6°,12.0°,12.4°,12.6°,12.8°
Lesotho,11.8°,12.2°,12.5°,12.7°,12.6°
Serbia,10.7°,11.0°,11.6°,12.2°,12.6°
Hungary,10.8°,11.1°,11.7°,12.2°,12.6°
Japan,11.1°,11.5°,11.9°,12.1°,12.4°
Bulgaria,10.8°,11.0°,11.6°,12.1°,12.3°
Türkiye,11.2°,11.4°,11.9°,12.3°,12.2°
Belgium,9.9°,10.3°,10.9°,11.1°,12.0°
Moldova,10.2°,10.5°,11.1°,11.6°,11.9°
Netherlands,9.8°,10.2°,10.7°,11.0°,11.7°
North Macedonia,10.3°,10.5°,11.0°,11.5°,11.7°
New Zealand,10.2°,10.5°,10.7°,10.9°,11.7°
Bosnia and Herzegovina,9.6°,10.0°,10.6°,11.1°,11.6°
Luxembourg,9.2°,9.6°,10.2°,10.5°,11.4°
Romania,9.5°,9.8°,10.4°,11.0°,11.2°
Slovenia,9.0°,9.5°,10.0°,10.5°,11.0°
Germany,8.8°,9.3°,9.8°,10.2°,10.8°
Bhutan,10.1°,10.3°,10.5°,10.5°,10.6°
Ireland,9.4°,9.6°,9.8°,9.8°,10.4°
United Kingdom,8.8°,9.0°,9.4°,9.5°,10.1°
Ukraine,8.5°,8.9°,9.5°,10.0°,10.0°
Georgia,8.5°,8.8°,9.3°,9.7°,9.9°
Slovak Republic,8.2°,8.5°,9.0°,9.5°,9.8°
Denmark,8.2°,8.6°,9.1°,9.4°,9.8°
Poland,8.1°,8.5°,9.0°,9.4°,9.7°
United States,9.0°,9.2°,9.6°,9.9°,9.7°
Czechia,7.8°,8.3°,8.8°,9.3°,9.7°
Chile,9.2°,9.3°,9.4°,9.6°,9.4°
Austria,6.6°,7.1°,7.6°,8.1°,8.7°
Armenia,7.3°,7.6°,8.1°,8.4°,8.6°
China,7.1°,7.4°,7.8°,7.9°,8.1°
Kazakhstan,6.2°,6.8°,7.4°,7.6°,8.1°
Switzerland,5.7°,6.1°,6.7°,7.1°,8.1°
Lithuania,6.6°,7.0°,7.5°,7.9°,8.0°
Belarus,6.6°,7.1°,7.6°,8.0°,8.0°
Latvia,6.0°,6.5°,7.0°,7.4°,7.4°
Estonia,5.5°,6.0°,6.5°,6.8°,6.9°
Tajikistan,3.3°,3.7°,4.1°,4.2°,5.1°
Kyrgyzstan,1.8°,2.4°,2.9°,3.0°,3.9°
Sweden,2.6°,2.9°,3.4°,3.6°,3.8°
Finland,1.8°,2.1°,2.6°,3.0°,3.2°
Norway,1.6°,1.9°,2.4°,2.6°,2.9°
Iceland,1.5°,1.6°,2.0°,2.2°,2.1°
Mongolia,0.1°,0.7°,1.3°,1.4°,1.3°
Russia,-4.7°,-4.2°,-3.6°,-3.1°,-2.9°
Canada,-4.7°,-4.3°,-3.9°,-4.0°,-4.2°
